ticker,name,sector,industry,price,market_cap,eps0,eps1,eps2,eg1,eg2,pe1,pe2,peg1,peg2,pe_implausible,sector_pe1,sector_eg1,sector_pe1_mean
UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail,19.420000076293945,1132174449.5478916,1.46,1.0248076923076923,0.7193361686390533,-0.2980769230769231,-0.2980769230769231,18.94989686558989,26.997113342758198,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
UPS,United Parcel Service,Industrials,Air Freight & Logistics,102.0199966430664,72834551322.74365,4.79,3.730747967479674,2.9057370348337628,-0.22113821138211395,-0.22113821138211376,27.345721965771528,35.10985179321396,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
UPWK,"Upwork, Inc.",Industrials,Human Resource & Employment Services,8.1899995803833,1022958506.9384624,0.89,1.028701298701299,1.1890183842131896,0.15584415584415603,0.15584415584415584,7.961494352853352,6.88803444010908,0.5108625543080895,0.4419822099069993,False,26.16367280461197,0.1419973073572504,33.292022761598915
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail,76.63999938964844,6563072708.852493,5.32,7.31328165374677,10.053400102825018,0.37467700258397935,0.37467700258397935,10.479563487122627,7.62329148405349,0.27969593582872115,0.20346302098818625,False,17.12461478795241,0.09201273225257235,23.63279043999208
URI,United Rentals,Industrials,Trading Companies & Distributors,1164.8199462890625,72971959159.9347,39.2,39.78871051268773,40.38626235363436,0.015018125323666476,0.015018125323666446,29.275136873752857,28.841984338375905,19.493203208005806,19.204783364622084,False,26.16367280461197,0.1419973073572504,33.292022761598915
USB,U.S. Bancorp,Financials,Diversified Banks,64.87000274658203,101070801581.3361,4.86,6.199370078740158,7.907857895715794,0.2755905511811025,0.27559055118110254,10.463966809957725,8.20323323990513,0.37969250996132303,0.29766017756227164,False,12.175904990939271,0.2321522761151244,16.818363553496667
USFD,US Foods,Consumer Staples,Food Distributors,108.61000061035156,23495679957.067795,3.39,5.085,7.6274999999999995,0.49999999999999994,0.4999999999999999,21.358898841760386,14.239265894506925,0.42717797683520775,0.28478531789013856,False,21.581219732454,0.027309224733112505,30.262301818219143
USLM,"United States Lime & Minerals, Inc.",Materials,Construction Materials,117.63999938964844,3374899005.810013,4.68,5.421386138613861,6.2802195863150665,0.1584158415841584,0.15841584158415842,21.69924745846025,18.731829002602435,1.3697649958153033,1.1824467057892787,False,19.867320548497293,0.18077595481441627,23.483754427797003
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,78.4800033569336,1171133389.1345062,1.19,0.6679716981132074,0.37494637771448913,-0.43867924528301894,-0.43867924528301877,117.49001279337564,209.3099387579465,,,False,26.111110051472984,0.13106796116504843,35.670037593695405
UTHR,United Therapeutics,Health Care,Biotechnology,508.4800109863281,21809059539.371216,26.66,28.384808306709267,30.221205649235987,0.06469648562300327,0.06469648562300326,17.913808171328732,16.82527219092541,2.7688997321609317,2.600647010251678,False,26.111110051472984,0.13106796116504843,35.670037593695405
UTI,Universal Technical Institute,Consumer Discretionary,Education Services,26.14999961853028,1440740269.6328375,0.47,0.2629761904761905,0.14714143990929707,-0.44047619047619047,-0.4404761904761904,99.43865857657508,177.72015575387886,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
